Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10UF,C_0805_2012Metric,125.8528,-43.434,-90,top
C2,100NF,C_0805_2012Metric,128.1028,-43.434,-90,top
C3,100NF,C_0805_2012Metric,130.3528,-43.434,-90,top
C4,10UF,C_0805_2012Metric,142.367,-51.943,180,top
C5,100NF,C_0805_2012Metric,141.2605,-107.789251,0,top
C6,100NF,C_0805_2012Metric,141.2605,-110.039251,0,top
C7,10UF,C_0805_2012Metric,131.323,-100.855,90,top
C8,10UF,C_0805_2012Metric,131.340126,-104.63,-90,top
C9,2.2NF,C_0805_2012Metric,156.4105,-101.887,-90,top
C10,2.2NF,C_0805_2012Metric,163.1605,-101.887,-90,top
C11,10UF,C_0805_2012Metric,158.6605,-101.887,90,top
C12,10UF,C_0805_2012Metric,160.9105,-101.887,90,top
C13,100NF,C_0805_2012Metric,151.8105,-107.789251,180,top
C14,100NF,C_0805_2012Metric,151.7605,-110.039251,180,top
C15,10UF,C_0805_2012Metric,133.6105,-114.554,90,top
C16,10UF,C_0805_2012Metric,131.2605,-108.789251,-90,top
C17,100NF,C_0805_2012Metric,132.969,-86.106,-90,top
D1,1N5817,D_SOD-123,133.7818,-44.069,90,top
D2,1N4148,D_SOD-123,117.729,-86.868,-90,top
D3,1N4007,D_SOD-123F,115.951,-113.919,90,top
D4,1N4007,D_SOD-123F,116.0105,-104.289251,90,top
J2,AUDIO_IN_TRS,NEUTRIK_NMJ6HCD2,125.4,-125.950064,180,top
J4,AUDIO_OUT_TRS,NEUTRIK_NMJ6HCD2,158.6,-125.973,0,top
J5,EXPRESSION JACK,NEUTRIK_NMJ6HCD2,158.623,-56.515,0,top
J6,Conn_01x20_Socket,PinSocket1x20_P2.54mm_Vertical_JLCPCB,138.43,-80.899,0,top
J7,Conn_01x20_Socket,PinSocket1x20_P2.54mm_Vertical_JLCPCB,138.41,-96.149,180,top
J9,MIDI IN JACK,NEUTRIK_NMJ6HCD2,125.349,-56.515,180,top
K1,G6K-2,Relay_DPDT_Omron_G6K-2G-Y,122.7605,-102.539251,90,top
K2,G6K-2,Relay_DPDT_Omron_G6K-2G-Y,122.692,-112.339,90,top
Q1,SS8050,SOT-23-3,115.148,-108.489251,0,top
R1,2M,R_0805_2012Metric,129.113,-100.855,90,top
R2,2M,R_0805_2012Metric,129.090126,-104.63,-90,top
R3,100K,R_0805_2012Metric,138.0105,-108.789251,90,top
R4,2M,R_0805_2012Metric,133.613,-100.855,90,top
R5,2M,R_0805_2012Metric,133.590126,-104.63,-90,top
R6,100K,R_0805_2012Metric,135.7605,-108.789251,-90,top
R7,3.3K,R_0805_2012Metric,158.123,-99.230749,180,top
R8,3.3K,R_0805_2012Metric,161.623,-99.230749,0,top
R9,2M,R_0805_2012Metric,156.4105,-105.437,90,top
R10,2M,R_0805_2012Metric,158.6605,-105.4495,-90,top
R11,2M,R_0805_2012Metric,163.1605,-105.437,90,top
R12,2M,R_0805_2012Metric,160.9105,-105.4495,-90,top
R13,100R,R_0805_2012Metric,135.8105,-114.554,-90,top
R14,100R,R_0805_2012Metric,133.5105,-108.789251,90,top
R15,2M,R_0805_2012Metric,130.2105,-112.539251,180,top
R16,2M,R_0805_2012Metric,129.0105,-108.789251,90,top
R17,220R,R_0805_2012Metric,115.443,-86.233,-90,top
R18,2M,R_0805_2012Metric,155.2956,-88.519,90,top
R20,470R,R_0805_2012Metric,133.604,-90.424,180,top
R21,1K,R_0805_2012Metric,113.7605,-100.203,-90,top
R22,1K,R_0805_2012Metric,157.607,-114.2746,-90,top
R23,1K,R_0805_2012Metric,167.132,-105.664,-90,top
R24,1K,R_0805_2012Metric,139.7,-85.0392,90,top
R25,1K,R_0805_2012Metric,142.24,-85.0392,90,top
U1,LD1117S50TR_SOT223,SOT-223-3_TabPin2,142.0368,-45.974,-90,top
U2,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,139.573,-102.805,90,top
U3,OPA1652AID,SOIC-8_3.9x4.9mm_P1.27mm,151.0105,-102.789251,-90,top
U4,H11L1,SOP-6_2.54mm,125.402,-87.884,-90,top
U5,CPC1018N,SOP-4_3.8x4.1mm_P2.54mm,160.909,-112.1986,90,top
U6,CPC1018N,SOP-4_3.8x4.1mm_P2.54mm,165.862,-112.2426,90,top
U7,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,150.2976,-87.629,0,top
